word,count,0: Economic,1: Capacity and Resources,2: Morality,3: Fairness and Equality,"4: Legality, Constitutionality, Jurisdiction",5: Policy Prescription and Evaluation,6: Crime and Punishment,7: Security and Defense,8: Health and Safety,9: Quality of Life,10: Cultural Identity,11: Public Sentiment,12: Political,13: External Regulation and Reputation,14: Other
marriage,15564,-0.05315499,-0.04848327,0.1602882,-0.07404315,-0.012365833,0.09763398,0.059459586,-0.36929196,-0.20173007,0.21887092,0.14187288,-0.031593278,0.038297147,-0.20998384,-0.124093406
death,13201,-0.3006233,-0.21216142,0.26507342,0.08610575,-0.08359074,0.13288006,-0.12831084,0.06718642,0.1937242,0.037735466,0.011079193,0.1330975,-0.0045026103,0.17920956,-0.16499275
bill,13068,-0.26159135,-0.2527285,-0.16757451,-0.14800705,-0.10692687,0.18781625,-0.107388884,-0.05809733,-0.20860425,-0.06065262,-0.15952352,0.04053539,0.1050886,-0.18443444,-0.10731419
right,12680,-0.25690362,-0.4286456,-0.07212306,0.24597044,0.1591894,-0.02319398,-0.0061512813,-0.0139320195,-0.1524251,-0.04770849,-0.00034663503,0.041645225,-0.00604442,0.12349083,-0.18163332
u,12304,-0.12900455,-0.016861355,0.14310078,0.07878442,-0.06316712,-0.0715115,-0.04749776,0.30344582,-0.14417471,-0.006173228,-0.093764655,-0.039336964,-0.12341352,0.42284995,0.05726829
say,11189,0.038376354,0.01258831,0.18723708,-0.062905975,-0.046431266,-0.07601765,-0.0409127,-0.10970183,-0.085758165,0.035133608,0.06277713,0.04027593,0.0089289965,0.095964454,-0.018089004
federal,11086,0.124145515,-0.015634911,-0.20399533,-0.06219402,0.07044451,0.011901768,0.108011626,0.084826976,0.054732535,0.09459464,-0.09543726,-0.014373377,0.025341678,-0.52972275,-0.03682129
last,10862,0.031058287,-0.2071609,0.11770161,-0.075218745,-0.044026986,0.010205306,0.05842742,0.014845737,0.06941212,0.032168277,-0.014181506,-0.055773668,0.03315944,-0.07089292,-0.04202309
immigration,10704,0.097750574,0.065722644,-0.026439285,0.021889726,0.04538452,0.06389565,0.07673914,-0.10368016,-0.056137998,-0.101536766,-0.0062314486,0.0757519,-0.029720051,-0.24173284,-0.052867502
two,10321,0.058088142,0.02454788,-0.12819614,-0.11745556,0.08256643,-0.065266415,0.14055496,-0.16857012,0.055247694,-0.034593504,-0.058779877,-0.076328196,0.018078534,0.16930984,-0.1051808
president,10078,-0.0415633,-0.028285963,-0.36032277,-0.15931211,-0.104702435,0.021901216,-0.2385148,-0.17141329,-0.16773143,-0.19088864,-0.045515824,-0.092027776,0.19896002,-0.0048000054,0.047945887
could,9833,-0.032108944,0.20185778,-0.12360657,-0.011468526,0.09061233,0.08919354,-0.013490564,0.19784313,0.09966014,0.01086946,-0.07751917,-0.34257782,-0.07365424,-0.048331495,-0.050568424
immigrant,9662,0.12777585,-0.22405523,0.18997447,0.1587043,0.0049768942,-0.023793722,0.044563834,-0.30684102,0.26776558,0.13938077,0.32588714,0.15789686,-0.05317168,-0.9607371,-0.07867623
also,9415,-0.20155354,0.10569142,-0.0017556942,-0.00902444,-0.03175466,0.025700914,-0.028520156,0.076418966,0.16970053,-0.028567282,0.027489401,-0.029457372,-0.018488321,0.12702604,-0.062093705
time,9402,-0.14060551,0.118877724,0.008643522,-0.107154,-0.022721125,-0.038454514,0.0053511932,0.19238323,0.05888598,-0.026145779,0.07598217,-0.0315334,0.025561232,-0.09164839,-0.05966914
gay,9325,0.18296854,-0.2719156,0.03310563,0.086829916,-0.027023558,-0.10599193,0.21264617,-0.6149686,-0.20457546,-0.007529139,0.09232804,0.23164026,0.08714102,0.07511969,-0.12938055
city,9298,-0.15261039,-0.011519013,-0.098268904,-0.049299285,0.078543,0.060153905,0.097120486,-0.2838444,-0.09230866,0.034548882,-0.027507002,-0.060197774,0.08673016,-0.058306932,-0.11780342
case,9017,0.114734076,0.032230847,0.03624163,0.03014236,0.13562232,-0.14386474,-0.07014992,-0.30459157,-0.073506966,-0.10959678,-0.14098908,-0.077487655,-0.09123299,-0.035802085,-0.07399815
mr,8811,-0.02972323,-0.12957612,-0.20396128,-0.011336993,-0.013614733,-0.05196404,0.0041946815,0.1540859,-0.0607248,-0.07139431,-0.06270459,0.0074454616,0.14467563,-0.07239272,-0.16174851
issue,8768,-0.15425603,-0.2833227,0.3059686,-0.18515451,-0.0087624015,-0.08363117,-0.270966,-0.013340785,-0.13724472,-0.09663784,-0.04804666,0.09178374,0.1432408,0.0041624275,-0.14380011
house,8765,-0.12731656,-0.33698854,-0.12886204,-0.19577089,-0.10484808,-0.06931187,-0.18016838,-0.08481213,-0.014854267,0.044367135,-0.22419026,-0.11417244,0.1715282,0.049537763,-0.11403832
american,8483,-0.09901142,-0.012765497,-0.10518444,0.27915558,-0.08210755,-0.12847085,-0.22204018,-0.17947295,-0.055727594,0.016744649,0.17770855,0.22077781,-0.08748809,0.38979208,-0.18424314
tobacco,8363,0.11803611,-0.25593692,0.3445892,-0.44452178,-0.013912204,0.190883,0.1311607,-0.856317,-0.034245692,-0.09872052,0.12813836,-0.057091665,0.12672901,-0.0013507511,-0.15709008
change,8308,-0.07363824,0.053678498,-0.09231188,-0.19497627,-0.122798525,0.08426244,-0.14169604,-0.14109255,-0.14768894,-0.001766172,0.075866595,0.15928935,0.0777225,0.094117105,-0.14253315
country,8295,-0.033535495,-0.05381491,0.023167867,0.11185382,-0.07658985,-0.040588494,-0.24924393,-0.27751842,0.026105724,-0.060034502,0.0230529,-0.24698928,-0.1980434,0.49680927,-0.21996622
ban,8288,-0.023785159,-0.4273242,-0.11850905,-0.101445325,0.02669549,0.29788804,-0.16196781,-0.1721224,-0.091882996,-0.27143386,-0.30437762,0.12416395,0.076407164,-0.07294381,-0.12553634
samesex,8221,0.09079675,-0.45194882,0.18437849,0.27794752,0.001984372,-0.004381678,-0.28185776,-0.5352485,0.0142197125,-0.14303435,0.057068754,0.2277307,0.04804736,0.08174536,-0.09200284
national,8175,0.008722828,-0.011338926,0.18129352,0.025420751,-0.106525935,-0.08528055,0.035490025,0.3822716,0.0010817789,-0.16305402,0.10397904,-0.07777778,0.025969576,-0.29000834,-0.098693304
group,8166,0.011410633,-0.28073573,-0.05824849,0.16006766,0.073113225,-0.005600804,-0.08797702,-0.020309439,-0.14989038,0.07527151,0.0019489579,0.27791873,-0.088280745,-0.23546354,-0.12680389
week,8089,0.0035558012,0.13821147,-0.22963148,-0.16736306,-0.0074540977,-0.04302857,-0.10789483,-0.06355677,0.11753299,0.08104274,-0.03867123,-0.029438846,0.06279493,0.40660754,-0.14095598
united,7907,-0.038937245,-0.3593397,-0.022622254,0.0017642332,-0.11039683,-0.10588384,-0.013242935,0.07429719,-0.014359561,-0.08101208,-0.19857489,-0.13910146,-0.23919475,0.4614401,-0.16038324
many,7871,0.10944426,0.07060698,0.04499363,0.033547074,-0.014263934,0.085077755,0.009605165,-0.17917532,-0.047487658,0.11055904,0.010522644,-0.037777115,-0.0738004,0.06487923,-0.16202557
county,7713,-0.046718314,0.16618435,-0.08324474,-0.040123574,0.055324126,0.027099837,-0.013561248,-0.28495717,0.0955426,-0.019795056,-0.020900998,-0.013464233,0.023902504,-0.1604932,0.04190414
day,7633,-0.015975317,-0.05083177,0.16916916,0.044248372,0.010591655,-0.11881883,0.055596452,-0.19917148,0.14040062,0.118562266,-0.00887156,-0.031287305,-0.034584936,0.16747557,-0.12430473
climate,7574,-0.06334153,0.15412423,0.20693453,-0.29761675,-0.026490176,-0.04150649,-0.39706606,0.2045071,-0.03177471,-0.078542896,-0.15809889,0.06695138,-0.010645486,0.047428723,-0.06680296
republican,7542,-0.0046953894,-0.69037646,-0.17763263,-0.41339427,-0.20181404,-0.0695696,-0.12712805,-0.14010236,-0.13753237,-0.3991706,-0.31580287,-0.10354204,0.2934356,-0.41463774,-0.14753287
first,7483,0.0361817,0.036865555,0.053279296,-0.13879663,0.13870896,-0.056149106,-0.030865323,-0.19683489,0.11813097,0.062080543,0.038433675,-0.10771419,0.02736089,-0.20670803,-0.09795448
percent,7383,0.024315244,0.036156863,-0.08279345,0.052269258,-0.07466168,-0.044070207,0.005229473,-0.08193332,-0.037735797,-0.052711852,0.16862358,0.18903454,-0.12178181,-0.13680884,-0.16746469
weapon,7352,-0.15778983,-0.23994826,-0.07497545,-0.081094086,0.038807906,0.0792498,-0.000156639,0.053194262,0.16027085,-0.21315783,-0.07493307,-0.23972006,0.10773068,-0.050698325,-0.06408443
school,7305,-0.13935472,0.062821,-0.15548763,0.053153172,-0.030598495,-0.04398746,-0.12202325,0.067904055,0.04871978,0.014806169,0.018903121,0.070287235,0.020490203,-0.0019314869,-0.005425808
public,7174,0.18845023,-0.17166749,-0.035861477,-0.003153437,-0.06298873,0.069332406,-0.064409755,-0.098754354,-0.14544448,0.0029225363,0.007447249,0.24393716,0.07307931,-0.3439518,-0.16095923
control,7157,-0.22244242,-0.20932357,0.0050885295,-0.19504637,-0.11415665,0.108019456,0.027125252,0.11422337,-0.11735251,-0.039804086,0.035144843,0.04788371,0.11402177,-0.119154714,-0.19098759
make,7153,0.14756703,-0.08248153,0.034219064,-0.1749454,0.00043508818,0.0043756715,0.04246016,-0.16416863,0.034113284,0.08405121,0.16437772,0.09937686,-0.025772482,-0.10807025,-0.24292105
official,6677,-0.14411329,0.2381616,-0.37508515,-0.17632157,-0.06600959,-0.052092493,0.26528192,0.1239786,0.085039146,-0.2615614,-0.08582368,-0.20051654,-0.005693655,0.14765915,0.10508944
senate,6422,-0.1837544,0.3205915,-0.13802844,0.120768346,-0.15019016,-0.099495955,-0.05430219,0.10902199,0.11089574,-0.2695809,-0.24635641,-0.28445262,0.15624256,-0.3444081,-0.07147488
even,6410,-0.0375447,-0.090027384,0.36928895,0.113423556,-0.09544621,-0.03314022,-0.063381195,-0.03058143,-0.1894053,0.15809071,0.11690656,-0.1254037,-0.0029634896,-0.032081228,-0.0790464
judge,6357,-0.20814206,0.30614072,-0.19280894,0.038285445,0.22637574,-0.05262271,-0.05975623,-0.14341713,-0.20197737,-0.26265496,-0.43874598,-0.2438901,-0.2927205,-0.07216585,0.046989396
government,6335,-0.021193782,0.16450617,-0.08372295,-0.08788607,0.033559896,-0.031102613,0.06363035,0.19579132,0.0050406973,-0.12594922,-0.09367802,-0.08292206,-0.054470535,0.33588684,-0.12652615
legal,6330,-0.08077435,-0.13057554,-0.39078975,0.00875158,0.21957259,0.10339508,-0.3446187,-0.31046897,-0.21584213,-0.094195396,-0.16738634,0.14967906,-0.02848428,0.40645057,-0.13636394
illegal,6326,-0.007392333,-0.09756158,-0.5020134,-0.03249804,0.13213545,0.08288292,0.22247611,0.12373156,-0.21327588,-0.18705262,-0.3241328,0.05043733,0.082080476,-0.009352817,-0.13528766
like,6194,0.11554498,0.1948693,-0.10080064,-0.099461704,-0.06639594,0.016639259,-0.19995266,-0.2573384,0.057546712,0.001636162,0.076414846,0.08696514,-0.08767933,0.45164022,0.042953864
may,6154,0.11940393,0.091521114,-0.1438275,9.9383215e-05,0.058471676,-0.08245322,-0.08049789,0.22164588,0.19683479,0.041276243,0.04623812,-0.16067514,-0.075488105,0.08281326,-0.09735189
attorney,6133,-0.2550316,-0.22744982,-0.06979226,0.1654343,0.23548192,0.019472418,-0.043875944,-0.30451694,-0.106004305,-0.09777552,-0.5338687,-0.48325953,-0.05094062,-0.13154557,-0.021853477
penalty,6043,0.26493558,-0.0011914423,-0.08289605,0.045942884,0.040948823,0.16198783,-0.020526692,0.008105882,-0.5714445,-0.020086184,-0.06587952,0.027955517,0.06536961,-0.009928738,-0.16118814
month,5977,0.20139016,0.17997436,-0.09070842,-0.28881624,-0.06465546,0.041858863,0.08674593,0.23623875,0.014841469,0.004960773,0.00819471,-0.11945401,0.0023387019,-0.13141143,-0.08004894
firearm,5970,0.08215092,0.03411951,-0.6627366,0.13800167,-0.016150704,0.042918585,-0.007989914,0.10883079,0.23449753,-0.16092944,0.042652052,-0.015419443,-0.00356879,0.297521,-0.11693545
amendment,5947,-0.040564526,-0.61011994,0.058684584,0.08007406,0.32978344,0.059513673,-0.23807962,-0.3107716,-0.2925493,-0.14339517,-0.101219736,0.0047273673,0.081359036,-0.78716564,-0.10642769
smoking,5936,-0.118036725,-0.742363,-0.40443075,-0.19400111,-0.15355378,0.27611813,0.034246914,-0.720964,0.120589845,0.23277064,0.16610016,0.02687028,0.11375256,0.050181035,-0.2099341
get,5931,0.13015597,0.116674185,0.048249073,0.008483141,-0.06410403,0.01655149,0.16846798,-0.2125785,-0.025478011,-0.06485622,-0.058451686,-0.088201016,0.025047366,0.101947494,-0.12094353
million,5920,0.2915596,0.27874044,-0.025287371,-0.21726154,-0.09937611,0.0022691677,0.032102797,-0.12497677,-0.2321162,-0.25847307,0.08661259,-0.035151653,-0.11272825,-0.15264797,-0.20471562
support,5848,0.041339144,0.024518415,0.14156486,-0.031022467,-0.39378244,-0.14834043,-0.14866038,-0.17028806,-0.11351041,-0.121417224,0.030514844,0.27863723,0.15804802,-0.052854285,0.048935026
police,5837,-0.2603611,-0.25048628,-0.60568535,0.046333436,-0.07860959,-0.016831197,0.3266603,-0.039282173,-0.09887824,-0.16155498,-0.12867041,-0.09925035,-0.11449205,0.28881162,-0.12398743
couple,5764,0.12873185,-0.20183057,-0.22702989,0.1002047,0.046972256,0.10781937,0.1120914,-0.042024873,-0.20731916,0.2293858,-0.0037558742,-0.2882395,-0.14271238,0.4128674,-0.07331145
child,5721,-0.016446466,-0.20216055,0.3344087,-0.05727616,0.042626172,-0.0064272187,-0.20151983,-0.15104705,0.26007286,0.07919066,-0.025029391,-0.08050324,-0.11218409,-0.38088247,-0.009060934
life,5635,-0.29271692,-0.22903629,0.13668063,-0.20589964,-0.031567797,0.034049436,-0.09776745,0.074781135,0.28258926,0.2967557,0.12076569,-0.04412783,-0.10456261,-0.14169079,-0.14291221
vote,5621,-0.4324549,0.088141285,-0.11479482,-0.16641197,-0.058671284,-0.020758206,-0.4569479,-0.24636415,-0.08512566,-0.50405157,-0.2008328,0.0769979,0.21799803,0.1424625,-0.043722965
nation,5572,-0.34372795,-0.205069,-0.12245016,0.10349859,-0.16360019,-0.113437,0.0323936,0.10601932,-0.34307477,-0.31265634,0.066360734,-0.06969021,-0.051946286,0.3959741,0.03225305
since,5557,0.104458846,0.15665616,-0.1631504,-0.21839799,-0.11068031,0.07699002,-0.055986613,-0.028669346,-0.055791575,-0.0012793979,0.12324159,-0.04870477,0.02081944,0.31243625,-0.09495893
measure,5507,-0.09651747,0.47621712,-0.121514834,-0.16345474,-0.2290826,0.074946836,-0.18445225,-0.023992222,-0.04679854,-0.2278341,-0.07167575,0.13960597,0.050762318,0.39691082,0.018410115
company,5446,0.35125348,-0.2659512,0.11914503,0.15206507,0.16137505,-0.31429622,0.14795181,-0.37716565,-0.055670157,-0.30350888,-0.22191665,-0.38281503,-0.33509788,-0.38192654,-0.05356277
shooting,5429,0.094252706,-0.086593814,-0.376518,0.060900755,0.040293384,-0.098659664,0.08135165,0.08373919,0.10741376,0.04341228,0.03707367,0.005813336,0.04987595,-0.077997275,-0.12884451
global,5350,0.22060052,-0.055391446,0.16999839,-0.2331733,-0.3197898,-0.07340759,-0.08739788,-0.048007544,0.20347148,-0.18443492,0.17047487,-0.2303492,-0.054484878,0.26602662,-0.0063716955
supreme,5350,-0.108725026,-0.11306506,0.3339747,-0.05091061,0.09122731,0.12218258,0.015482515,-0.56502,0.2957751,-0.06495997,0.19342926,-0.385532,-0.0036712997,-0.70445395,-0.04432068
way,5323,-0.017553976,-0.24023423,0.25856528,-0.04782813,0.054268043,-0.14048208,0.021883722,0.037160337,-0.014077965,0.0673938,0.09852764,-0.10622423,0.0032173905,-0.027371313,-0.0008112852
take,5298,-0.017263196,-0.1198344,0.01190775,-0.1090841,0.014521906,0.008386208,-0.05480307,0.07414237,-0.047474034,-0.079327516,0.036330234,0.1727092,-0.021454843,0.07465794,0.003116728
want,5187,0.043231744,-0.39889872,-0.06949412,0.034506686,0.1072152,0.036307987,0.04058955,-0.12769891,-0.17956045,0.19616477,0.12314175,0.17830348,-0.009237053,-0.41252705,-0.14142966
three,5169,0.016354032,0.048985247,-0.15074481,-0.07829876,0.03541642,0.025656218,0.09632949,-0.03185592,-0.013469555,-0.06312447,-0.008106333,-0.01531197,0.049853846,-0.11134755,-0.13082549
florida,5120,0.13114491,-0.091258556,0.13790418,-0.022705365,0.099469736,0.021355094,0.014905406,-0.113135226,-0.110343285,-0.35890758,-0.15967685,0.0045475885,0.05388045,0.20671438,-0.13128082
cigarette,5109,0.109886,-0.4216859,-0.005708415,0.045224596,0.124159284,0.10218729,0.21198907,-0.5438883,0.01635905,-0.07433325,0.014735655,0.22391632,-0.13862157,-0.00059032504,-0.1008931
decision,5088,0.119054444,-0.10218727,0.10374213,-0.11325311,0.13106555,-0.0750815,-0.30380678,0.020156456,0.027158681,-0.068334475,-0.1578371,0.02241881,-0.074639745,0.058352996,-0.13866843
congress,5088,-0.26057413,-0.10005804,-0.28236502,0.0049437596,0.035210706,0.0040187025,-0.09666719,-0.01797098,-0.23297481,-0.0930115,-0.19814444,-0.093533345,0.25072354,-0.53345084,-0.10763071
washington,5010,-0.025518777,0.12248006,0.14013942,0.09138923,0.0525858,-0.13401456,-0.18322377,0.21509115,0.058829516,0.014458638,-0.104786344,-0.003552001,0.008217024,-0.017921662,-0.036486436
member,5008,0.0011503843,-0.14205717,0.18242767,0.095627815,0.011868563,0.12962784,0.008185269,-0.15859658,-0.14908276,0.062355954,0.025466526,0.02734414,0.012306557,-0.4690607,-0.14140554
legislation,5001,-0.1904259,-0.18439873,-0.17697269,0.021609254,-0.117364325,0.19520874,-0.16342655,-0.1394651,0.17608598,-0.3569074,-0.26758498,0.07824377,0.14946726,-0.36476567,-0.16776899
california,4983,-0.0648222,0.2998365,-0.0362306,-0.19666469,-0.052119315,0.07576919,-0.040525798,0.011318117,-0.0005717977,0.10985781,-0.005828247,0.018083626,-0.0029019893,0.069999434,-0.17159009
health,4923,-0.44792068,-0.18189196,-0.25884053,0.0027361265,0.017925255,-0.10248792,-0.07922804,-0.6068278,0.47174358,-0.21162163,-0.10160448,-0.1858572,-0.25413588,0.3829106,0.008023365
york,4889,0.054353986,-0.17674455,0.06486447,-0.1243579,0.037610237,-0.115999825,0.064383835,0.06849446,0.10528868,0.2009996,0.010662498,-0.020915637,-0.093344726,0.38829848,-0.21678674
warming,4888,-0.07806423,0.298659,-0.3125511,-0.29451844,0.05444556,0.037880003,-0.5427148,-0.2556571,-0.3977867,0.1776224,-0.12926409,0.24284214,0.06698274,-0.13072649,-0.10836816
crime,4746,-0.3179387,-0.16237096,0.113986574,-0.05679362,0.03575442,0.08096534,0.25963622,0.087546825,-0.4938231,-0.31669378,-0.30479708,0.040302243,-0.01774702,0.0811674,-0.10112113
including,4692,0.22020961,-0.41243255,0.007873013,-0.008842253,-0.06833991,0.0037815904,0.017976807,0.06722634,-0.18487622,-0.27436763,0.1364349,0.042899646,0.07869345,-0.0072933123,0.039377093
family,4655,-0.008247061,-0.1649868,0.2894501,-0.17886573,-0.056434844,0.009910809,-0.17687313,-0.5013941,0.027698737,0.23822014,0.06347595,0.034130592,-0.03604748,-0.4212922,0.18167147
whether,4639,-0.10032088,0.14310619,-0.1292423,-0.042712476,0.14995046,-0.1151376,-0.07149061,0.31751874,0.16146366,-0.21153848,-0.20261128,-0.04211673,0.009411861,-0.17283025,-0.078404866
policy,4547,-0.071991235,-0.16860929,-0.21310508,-0.109852724,-0.07354665,0.3912108,-0.12383934,-0.278477,-0.3403685,-0.120523915,-0.14070404,-0.17731974,-0.022162594,-0.13103665,-0.12811236
emission,4520,0.1140978,0.08780541,0.23480299,-0.5847018,0.077805474,0.15052034,-0.6971564,0.21713667,-0.6412736,-0.08659126,0.101877905,-0.1416399,0.08650967,0.12999076,-0.14364824
appeal,4506,-0.081588864,-0.10644626,-0.1558623,0.19196436,0.08405838,0.1360801,0.045717884,-0.617044,-0.1649438,0.006217812,-0.10042587,-0.24527542,0.07661317,-0.114266776,-0.1610456
made,4487,0.068594545,-0.047833756,0.0760748,-0.13547945,-0.027629187,-2.4541985e-06,-0.07299284,-0.054299988,-0.08860279,0.055799108,-0.038395844,-0.008493107,0.07840833,-0.13746922,0.082700476
check,4487,-0.07988374,0.36507833,0.3772632,-0.0519771,0.025111228,-0.092290245,-0.1117873,0.3832069,-0.15078513,-0.26383907,-0.17496781,-0.128085,-0.24340329,0.51164305,-0.088500775
show,4450,0.2555977,-0.15939458,0.19296503,-0.07640477,-0.10282191,-0.15226541,-0.08673233,0.21230803,-0.0065738773,-0.31756705,0.31517467,-0.049350124,-0.15634254,-0.14534089,0.031038694
rifle,4439,0.17843889,-0.34611735,-0.5325751,-0.09923485,-0.005693015,0.049757935,0.037043434,0.14744538,-0.21712871,0.010562686,0.1512126,0.31030855,0.007101595,-0.17638959,-0.14891997
today,4423,-0.009348154,0.13478717,0.15401004,-0.21546137,0.024468599,-0.17265211,-0.0071256175,-0.21271116,-0.0031146193,-0.063944794,0.12235011,0.19421397,0.054660164,0.15431759,-0.14927009
come,4413,0.18979453,0.18932381,-0.013735935,-0.040158715,-0.13571054,-0.001463176,-0.17401645,0.093894824,-0.0017122701,0.04189016,0.022480955,-0.054501843,0.057610177,-0.01685333,-0.18226191
dont,4401,0.049939346,-0.073571384,0.06503485,-0.049055483,-0.051870044,-0.07357104,0.11329518,0.25999013,-0.14312072,0.09975523,-0.13403781,0.15835321,0.009412622,0.055191245,-0.121287085
woman,4383,-0.23161203,-0.11770824,0.10228755,0.13495147,0.084702216,-0.069805734,0.10496536,-0.013055211,0.059739374,0.0077708308,0.04721041,0.14336158,-0.121576816,-0.09810684,-0.19031875
district,4338,-0.17382184,0.010924914,-0.11096661,-0.10184851,0.09638857,-0.008036212,0.0822973,-0.024984337,0.12591892,-0.22484805,0.20618115,-0.09314521,0.005468306,-0.2599424,-0.15405983
gas,4285,0.19057041,0.111421235,0.09989852,-0.38423365,0.040548675,0.080909066,-0.27449623,-0.10271758,0.0967604,-0.4534535,-0.48816368,-0.11101308,0.1456483,-0.015698176,-0.17203698
man,4277,-0.3960982,-0.3116576,0.21029139,0.20729671,0.056600906,-0.07816377,0.14178,0.2195242,-0.03394025,-0.078588895,0.0052819117,-0.13754128,0.027868802,-0.31419596,-0.24244922
justice,4269,-0.40025792,-0.35218528,0.33244365,0.29465464,0.24392931,-0.19922672,-0.38091296,-0.42510134,-0.19296858,-0.29534742,-0.18828763,-0.011818766,-0.08683481,-0.029586574,-0.07221498
murder,4264,-0.12735415,-0.29306096,-0.0034659596,0.096649304,0.2184547,0.0364581,0.09546786,-0.2065115,-0.32110262,0.14634836,-0.20093875,-0.2966429,-0.13146757,-0.12928341,-0.16479555
work,4212,0.15954542,-0.25958773,-0.48112077,-0.08891416,-0.001344713,0.057574872,-0.014627931,-0.2926041,0.11109365,0.18901648,0.06945158,0.030029042,-0.081306085,0.08036271,0.25631303
plan,4196,-0.045465175,-0.35667503,-0.11226865,-0.23676038,0.027638152,0.32235715,-0.06846509,-0.2721782,-0.23307934,-0.03506299,-0.21556772,-0.04403167,0.056821246,-0.12043168,-0.12325047
tuesday,4185,-0.02181027,-0.1958446,-0.30940294,-0.06400383,0.16359843,-0.11746534,0.05133413,0.050643347,-0.06048419,-0.12294657,-0.23972574,0.06660981,0.18305619,0.14151032,-0.25582805
administration,4147,-0.23772982,-0.16527604,-0.32834756,0.2320137,0.06861414,0.044256143,-0.08909412,0.12948288,0.035268527,0.017323578,-0.08540772,-0.12417574,0.18064405,-0.070099354,-0.20147592
report,4123,-0.17518331,0.06920354,-0.046664555,0.08307763,-0.18409897,-0.06229215,0.03257351,0.17730461,0.14913316,-0.027289875,0.037793018,-0.21636374,0.05780384,0.032177016,-0.04848123
part,4119,-0.13863583,0.04219906,-0.12297666,0.15173966,0.13582799,-0.1476547,0.00055976195,0.31614068,-0.052395944,0.084109746,0.18756911,-0.07424513,-0.02640183,-0.42472482,-0.052103646
need,4117,-0.0057894033,-0.05992514,-0.22403747,-0.15236683,0.07972808,0.04178141,-0.046748087,-0.017082682,-0.004759315,-0.013986467,-0.037672054,0.19582252,0.0648104,0.02914157,-0.21548012
much,4052,0.20056358,0.21659091,-0.027824586,-0.30834013,-0.15992317,-0.022950716,0.0108583225,-0.36111683,-0.029163923,0.21067224,-0.02331327,0.20158443,-0.0054853796,0.20930676,-0.25262922
program,4031,0.07488066,-0.25548598,0.014657294,-0.22069943,0.011369925,0.20269936,-0.20728977,0.3178505,-0.14839743,0.135515,-0.20623554,-0.08840061,-0.05450793,-0.2895996,-0.10303271
general,4023,-0.06915901,-0.13383798,-0.1572587,-0.16273603,0.17822722,0.013681058,0.029092588,0.34135196,0.081938975,-0.23718706,-0.07779247,0.21674359,-0.079039164,-0.2810434,-0.20840682
association,4014,-0.050712653,0.66201997,0.07993662,-0.1189622,-0.08887247,-0.021235181,0.05619831,-0.49542138,0.21831982,0.18360862,-0.16365743,0.008831671,0.03223899,-0.0794667,-0.16212083
bush,4000,-0.39018673,-0.42250505,-0.02657749,0.005937544,0.034458235,-0.064483255,0.09283299,-0.0077728867,-0.2169242,-0.27776295,-0.36089876,-0.2729364,0.21970968,0.14926235,-0.12044616
